"Component","Value","Manuf","Manuf Part No","Distrib","Distrib Part No","Qty"
"0.125Wresistor","","","","","","1"
"0.125Wresistor","","","","","","1"
"0.125Wresistor","","","","","","1"
"0.125Wresistor","","","","","","1"
"0.125Wresistor","","","","","","1"
"0.125Wresistor","","","","","","1"
"0.125Wresistor","","","","","","1"
"0.125Wresistor","","","","","","1"
"0.125Wresistor","","","","","","1"
"0.125Wresistor","","","","","","1"
"0.125Wresistor","","","","","","1"
"0.125Wresistor","","","","","","1"
"0.125Wresistor","","","","","","1"
"B3F-1050","","","","","","1"
"B3F-1050","","","","","","1"
"B3F-1050","","","","","","1"
"B3F-1050","","","","","","1"
"BDMConnector","","","","","","1"
"CAS1007","","","","","","1"
"Ceramic","","","","","","1"
"Ceramic","","","","","","1"
"Ceramic","","","","","","1"
"Ceramic","","","","","","1"
"Ceramic","","","","","","1"
"Ceramic","","","","","","1"
"Ceramic","","","","","","1"
"Ceramic","","","","","","1"
"Ceramic","","","","","","1"
"Ceramic","","","","","","1"
"LEDT1.75","","","","","","1"
"LM4041","","","","","","1"
"LM7805CT","","","LM7805","","","1"
"Max539","","","","","","1"
"MC9S12C32MFUE25","","","","","","1"
"MC34119","","","","","","1"
"OffBoardSwitch","","","","","","1"
"PowerJumper","","","","","","1"
"SerialDB9","","","","","","1"
"Speaker","","","","","","1"
"ST232CN","","","","","","1"
"tantalum","","","","","","1"
"tantalum","","","","","","1"
"tantalum","","","","","","1"
"tantalum","","","","","","1"
"tantalum","","","","","","1"
"tantalum","","","","","","1"
"tantalum","","","","","","1"
"tantalum","","","","","","1"
"tantalum","","","","","","1"
"tantalum","","","","","","1"
"tantalum","","","","","","1"
"testpoint","","","","","","1"
"testpoint","","","","","","1"
"XTAL","","","","","","1"
